PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Embalaje,Picture1,AllPicturesZIP,DeliveryPlant
1009089,12000045,401-37-059001,BARNETT,BARNE PLATE STEEL,Separador de embrague BARNETT,9.98,8.25,4.95,401-37-059001,0,8714105000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Clutch plate</li><li>OE type</li><li>Supplied as a single unit</li></ul> </body> </html>","        Clutch plateOE typeSupplied as a single unit  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,226,44,144,131,12,Acero,por unidad,https://api.mybihr.com/medias/1009089-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA0Nzd8aW1hZ2UvanBlZ3xhREE1TDJnMll5ODRPVFk0T0RRMk5UQTRNRFl5THpFd01Ea3dPRGt0TVY4NE1EQlhlRGd3TUVnfDI4YjZlOTgzZGVhYzk5YjFjMzgzODgwNGEwMGViMTY3ZDJiMWZkNzdkMTdlOGVjYmY3ODc1Mjg2NjI2NWE1OTI,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009065,12000035,303-90-20049,BARNETT,BARNE CLUTCH CARBON PLATE KIT,Kit de embrague BARNETT,297.15,245.58,147.35,303-90-20049,0,8714109090,0,1,"<ul>
	<li>Complete Dirt Digger clutch kits; include friction plates, steel drive plates and springs</li>
	<li>Available with Kevlar or Carbon fiber friction plates</li>
	<li>Replace steel drive plates with Cryodized aluminum drive plates for added performance; Cryodized aluminum drive plates are lightweight and will not muddy or contaminate engine oil like other aluminum plates</li>
</ul>
","
	Complete Dirt Digger clutch kits; include friction plates, steel drive plates and springs
	Available with Kevlar or Carbon fiber friction plates
	Replace steel drive plates with Cryodized aluminum drive plates for added performance; Cryodized aluminum drive plates are lightweight and will not muddy or contaminate engine oil like other aluminum plates

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1736,738,174,175,57,,,https://api.mybihr.com/medias/1009065-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY0OTB8aW1hZ2UvanBlZ3xhR1F3TDJoalpTODRPVFk0T0RRMU56SXhOak13THpFd01Ea3dOalV0TVY4NE1EQlhlRGd3TUVnfDhmYzBhOWI2ODQ4OGZiZjg3YTFiZDM0ZDkzZGViNmZmN2Y3OWExNGM1MGUwNzA2ZTc4NDg0OGI2ZWIzZWU1ZTk,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009067,118010,306-30-20015,BARNETT,BARNE CLUTCH STEEL&FRICTION,Kit de discos + separadores de embrague BARNETT,225.76,186.58,111.95,306-30-20015,0,8714105000,0,1,"<ul><li justify>Recambios de calidad, contiene un kit completo de discos de fricción de kevlar.</li><li justify>Para embrague seco o húmedo.</li><li justify>Fabricado en EE.UU.</li><li justify>Incluye 8 discos de fricción y 7 discos de acero</li></ul>","Recambios de calidad, contiene un kit completo de discos de fricción de kevlar.Para embrague seco o húmedo.Fabricado en EE.UU.Incluye 8 discos de fricción y 7 discos de acero",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2248,825,224,173,58,,,,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009100,110757,501-24-05057,BARNETT,BARNE SPRINGS CLUTCH,Kit de muelles de embrague BARNETT,27.31,22.57,13.54,501-24-05057,3,7320208190,0,1,"<p justify>Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.<br><br></p><ul><li justify>Lote de 5.</li></ul>","
Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.Lote de 5.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,116,146,88,32,,,https://api.mybihr.com/medias/1009100-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE4MTF8aW1hZ2UvanBlZ3xhR1l3TDJoallTODRPVFExTmpZeE56QTJNamN3THpFd01Ea3hNREF0TVY4NE1EQlhlRGd3TUVnfGY4ODgzYjk1Y2U3ZmJlMjhiZTk5OTg4MWY4ZmUwZDFiNTNmZTYyODM2ZTk2Nzc4N2I3NjMyYmY4Yzk0MDQ3ZWQ,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009135,110802,501-44-06002,BARNETT,BARNE SPRINGS CLUTCH,Kit de muelles de embrague BARNETT,33.08,27.34,16.40,501-44-06002,0,7320208190,0,1,"<p justify>Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.<br><br></p><ul><li justify>Lote de 6</li></ul>","
Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.Lote de 6",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,116,146,88,32,,,https://api.mybihr.com/medias/1009135-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE4MTF8aW1hZ2UvanBlZ3xhR0l3TDJneVlTODRPVEF4TVRBeE5qUTVPVFV3THpFd01Ea3hNelV0TVY4NE1EQlhlRGd3TUVnfDllNDQ0MWNiMjU1NGFjMTY0YWY2NGZiZTZiNWE1YWU2YzQzNTU4MmNkYWEwODMzMmRjZWMyOGMzYTdjNWIwMDc,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009143,110785,501-47-05044,BARNETT,BARNE SPRINGS CLUTCH,Kit de muelles de embrague BARNETT,27.31,22.57,10.70,501-47-05044,1,7320208190,0,1,"<p justify>Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.<br><br></p><ul><li justify>Lote de 5.</li></ul>","
Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.Lote de 5.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,116,146,88,32,,,https://api.mybihr.com/medias/1009143-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE4MTF8aW1hZ2UvanBlZ3xhRFEwTDJnMFlTODRPVEF3T1RnMk16TTVNelU0THpFd01Ea3hORE10TVY4NE1EQlhlRGd3TUVnfDIxM2QxNWNiZDRkM2E3MGI2NzFjMjMyOWMyMGU4YTEyMmM2MjRmMDAxZTZhZTZiZTdmMGM1MzliOWI2MTIzOTU,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009085,120092,401-35-055002,BARNETT,BARNE PLATE STEEL,Separador de embrague BARNETT,9.98,8.25,4.95,401-35-055002,0,8714105000,0,1,"<p justify>Discos de acero templado Barnett: reducen la vibración, testados para responder eficazmente.<br><br></p><ul justify><li justify>Se necesitan seis</li><li justify>1'4 mm de grosor</li></ul>","
Discos de acero templado Barnett: reducen la vibración, testados para responder eficazmente.Se necesitan seis1'4 mm de grosor",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,78,80,140,140,4,,,https://api.mybihr.com/medias/1009085-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYzNjR8aW1hZ2UvanBlZ3xhRGszTDJnM09TODRPVFk0T0RRMk1URTBPRFEyTHpFd01Ea3dPRFV0TVY4NE1EQlhlRGd3TUVnfDRiYmZjZjNiZTY2MDliOWU3OTlmYWYzNjk5Y2NkNzY1ZTNkNzljODRhNWQ1YjkwY2U3OWNiNDBjOTM3ZmMzYTM,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009123,110715,501-40-06017,BARNETT,BARNE SPRINGS CLUTCH,Kit de muelles de embrague BARNETT,31.51,26.04,12.99,501-40-06017,1,7320208190,0,1,"<p justify>Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.<br><br></p><ul><li justify>Lote de 6.</li></ul>","
Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.Lote de 6.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,116,146,88,32,,,https://api.mybihr.com/medias/1009123-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE4MTF8aW1hZ2UvanBlZ3xhREl5TDJnNE1pODVNREV5TkRVek1EZ3hNVEU0THpFd01Ea3hNak10TVY4NE1EQlhlRGd3TUVnfGYzNjQwOWMyYTY5NzNkMDkwMzc4MGNkOGFkZWU5MmU1YmYxOTRkMmE3ZWYzZWZmN2UwNTc1OTIzNmM1ZGZmYTI,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009126,110862,501-40-06086,BARNETT,BARNE SPRINGS CLUTCH,Kit de muelles de embrague BARNETT,33.08,27.34,16.40,501-40-06086,0,7320208190,0,1,"<p justify>Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.<br><br></p><ul><li justify>Lote de 6</li></ul>","
Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.Lote de 6",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,80,146,88,32,,,https://api.mybihr.com/medias/1009126-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE4MTF8aW1hZ2UvanBlZ3xhR1JtTDJnNE9DODVNREV5TkRVek1qYzNOekkyTHpFd01Ea3hNall0TVY4NE1EQlhlRGd3TUVnfGMxNDkyYThmMDY1ODBjOGY5YTY5MzE0NGVlZDlmMjMzNWJlZjQ3OTZiMTEyNGM0YjIwMWE5OWUxMGRjN2Q4MTU,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
1009127,110703,501-41-05006,BARNETT,BARNE SPRINGS CLUTCH,Kit de muelles de embrague BARNETT,31.48,26.02,15.61,501-41-05006,1,7320208190,0,1,"<p justify>Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.<br><br></p><ul><li justify>Lote de 5</li></ul>","
Los muelle de embrague Barnett están hechos de silicio de cromo. Tratados térmicamente, granallados y prejaustados. Estos muelles ultrarresistentes poseen una presión un 10-25% superior a los OEM, lo que hace que tenga mayor vida útil.Lote de 5",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,411,67,146,88,32,,,https://api.mybihr.com/medias/1009127-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE4MTF8aW1hZ2UvanBlZ3xhR0ZtTDJnNFppODVNREV5TkRVek5EYzBNek0wTHpFd01Ea3hNamN0TVY4NE1EQlhlRGd3TUVnfDFjYWRhMmJkNTBjN2FlZmJiZWYxY2QwYjY3NjI3MTEyZTJmYzAzZTFmNDVhYjc0NDk2ZjA3NTUxYzJkOTc0Yjk,https://static.bihr.pro/eBihr/Pictures/BARNETT-pictures.zip,Spain Warehouse (Parts)
