PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajustes de amortiguación,Color,Homologación,Longitud (mm),Spring Rate,Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1021539,60017,MH18WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MH18WO,191.18,158.00,102.70,8033914015008,1,8714109090,0,1,"Linearity K = 0,9 kg/mm","Linearity K = 0,9 kg/mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,1058,450,167,90,,,,,,https://api.mybihr.com/medias/1021539-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhRFU1TDJobVppODRPVFk1TVRrd09ETTBNakEyTHpFd01qRTFNemt0TVY4NE1EQlhlRGd3TUVnfDI1YTJkOTlkMjk5MTM2OTZjYjQ5MDZmYjA0NTAzZThhNGVjNmQzYzc5ZmUzMTI2NjZmMTMzNTI5N2RlOTQwMDg,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1021576,60024,MK33WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MK33WO,147.49,121.89,79.23,8033914007904,1,8714109090,0,1,"Linearity K = 0,9 kg/mm","Linearity K = 0,9 kg/mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,1000,450,167,90,,,,,,https://api.mybihr.com/medias/1021576-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhRGc0TDJnek5TODRPVFk1TVRrNE1UQTROekF5THpFd01qRTFOell0TVY4NE1EQlhlRGd3TUVnfDZjZTNjYjNjYWRlM2YzYzc0MGFjYTBmODNhMzgwNDU1NzdhNzlkZjIxZmY0NzIyODljMzVhODI1YjFhMWU3YWE,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1043508,,K0047XZE01,BITUBO,BITUB REAR SHOCK XZE01,BITUBO XZE01 Rear Shock Absorber,700.59,579.00,300.00,8033914066772,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,3320,450,167,90,,,Homologación TüV,,,https://api.mybihr.com/medias/1043508-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE3MDl8aW1hZ2UvanBlZ3xhRFptTDJobU9DODRPVGN3TWpnME56STRNelV3THpFd05ETTFNRGd0TVY4NE1EQlhlRGd3TUVnfGQ4MWM5OTkwMDRkODUwM2ViZjMwNDE3OGQyNDM4YjYwZDU4NGEyNWZiMzg0ZjY2ODYxOWUyNDUxOWRiZjJmNWM,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043513,,S0032XZE01,BITUBO,BITUB REAR SHOCK XZE01,BITUBO XZE01 Rear Shock Absorber,700.59,579.00,300.00,8033914082093,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7467,3175,457,172,95,,,Homologación TüV,,,https://api.mybihr.com/medias/1043513-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE3MDl8aW1hZ2UvanBlZ3xhR1UyTDJnNVpDODRPVGN3TWpnMU56RXhNemt3THpFd05ETTFNVE10TVY4NE1EQlhlRGd3TUVnfDUxODQyOTczYmQzZDI0ZGY4Y2JjOGViMGNkNzczMTY1YjNmNDU5MmZjMzBlMGZkOWVjMTA5MGY0NGQzMWQ0Mzc,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1043548,,H0054WMB02V2,BITUBO,BITUB REAR SHOCK WMB02,BITUBO Legend Series WMB02 Twin Rear Shock Absorbers,488.84,404.00,230.00,8033914204761,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,3800,450,167,90,,,Homologación TüV,,,https://api.mybihr.com/medias/1043548-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIyNTF8aW1hZ2UvanBlZ3xhR1V4TDJnNU5pODVNREV5TXpneU16WTNOemMwTHpFd05ETTFORGd0TVY4NE1EQlhlRGd3TUVnfGFlYjBiMDVjMzk2YmZjZmI3MTU3YWM1ZTE1Y2VhZjk5MDVmNDdjNWY3M2VkMDZiODc1MDBiM2ZhNGI3NmMwZjQ,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1021439,60309,SC149YGB02,BITUBO,BITUB REAR SHOCK YGB02,Amortiguadores Bitubo gas scooter muelle gris/negro SC149YGB02,379.99,314.04,204.13,8033914158576,1,8714109090,0,1,"Amortiguadores Bitubo YGB. Simple y eficaz para tu scooter. La mejor funcionalidad en terrenos dispares.<br>- Amortiguadores traseros dobles, cámara individual presurizada con gas Nitrógeno.<br>- Ajustes específicos para cada modelo de scooter.<br>- El sistema de muelle con doble dureza asegura un confort inicial junto con una progresión de fuerza según la aceleración, que aseguran el mejor funcionamiento en cualquier situación y/o terreno.<br>- Precarga regulable continua.<br>","Amortiguadores Bitubo YGB. Simple y eficaz para tu scooter. La mejor funcionalidad en terrenos dispares.- Amortiguadores traseros dobles, cámara individual presurizada con gas Nitrógeno.- Ajustes específicos para cada modelo de scooter.- El sistema de muelle con doble dureza asegura un confort inicial junto con una progresión de fuerza según la aceleración, que aseguran el mejor funcionamiento en cualquier situación y/o terreno.- Precarga regulable continua.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7326,2457,458,172,93,,,,,,https://api.mybihr.com/medias/1021439-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcyNjE1fGltYWdlL2pwZWd8YURabUwyZ3hZeTg1TURFeU5USTFORFkxTmpNd0x6RXdNakUwTXprdE1WODRNREJYZURnd01FZ3w1ZTZiNGRmZjE3ZGNjZTAyYWYyYjllNTg0MzA1ZmY5ZWY0NDQ3MTVkOTJmNTc1NGQ5YTZhNzIyNjQ4ZGY5NzFl,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1021565,59951,MK12WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MK12WO,191.18,158.00,102.70,8033914114145,1,8714109090,0,1,"Linearity K = 1,0 kg/mm","Linearity K = 1,0 kg/mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,1306,450,167,90,,,,,,https://api.mybihr.com/medias/1021565-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhREl3TDJobFl5ODRPVFk1TVRrMU9UUTJNREUwTHpFd01qRTFOalV0TVY4NE1EQlhlRGd3TUVnfDQ0NWE4MjViODRlYzkzMGJlMGI3NzExOTU5NDAzMTAwNTU5NzI0MDYwMDQ5MzhiNTI4MjhjZTE2MjE0MTY3MzQ,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1043569,,Y0004WMB02V2,BITUBO,BITUB REAR SHOCK WMB03,BITUBO WMB03 Twin Rear Shock Absorbers - Black,488.84,404.00,200.00,8033914205898,1,8714109090,0,1,"BITUBO is an Italian manufacturer of forks, shock absorbers and steering dampers for motorcycles and maxi-scooters. WMB 02/03 type twin shock absorbers optimise riding comfort of your motorcycle through improved shock absorption thanks to nitro gen-pressurised single-cylinder hydraulic system technology.","BITUBO is an Italian manufacturer of forks, shock absorbers and steering dampers for motorcycles and maxi-scooters. WMB 02/03 type twin shock absorbers optimise riding comfort of your motorcycle through improved shock absorption thanks to nitro gen-pressurised single-cylinder hydraulic system technology.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7183,3944,457,169,93,,,Homologación TüV,,,https://api.mybihr.com/medias/1043569-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTEwMTQ0fGltYWdlL2pwZWd8YURNNUwyZzVaaTg1TURFeU16ZzFNVEl3TWpnMkx6RXdORE0xTmprdE1WODRNREJYZURnd01FZ3wzNDgzMThmMjJiMDhmOGFlNWY3ZTUwODNjYmU1NjNiZDQ0NTA2MDRmNDMwYjk3NWQxYTRkZDUwN2Q5YjA3MmNm,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,France Warehouse (Parts)
1021215,60599,PV043GEV01,BITUBO,BITUB FRT SHOCK,Amortiguador Bitubo delantero gas botella PV043GEV01,283.75,234.50,121.00,8033914190163,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.</p><p> </p><ul> <li>Vespa mono shock</li><li>Setting : - preload - compression : 12 clics</li></ul> </body> </html>","       Bitubo represents today the ideal solution for riders who want the best for their vehicle: performance, comfort, riding precision, and most of all, the quality of an excellent product that is constantly developed.  Vespa mono shockSetting : - preload - compression : 12 clics  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,7686,1908,456,172,98,,,,,,https://api.mybihr.com/medias/800Wx800H-1021215-1.jpg?context=bWFzdGVyfHJvb3R8OTEzNTh8aW1hZ2UvanBlZ3xhR0pqTDJneE5DODJNelV6TVRZeE1qY3dNRGN3TWk4NE1EQlhlRGd3TUVoZk1UQXlNVEl4TlMweExtcHdad3wwNWRhM2Q3MWI2MzJkNDYzMThkN2M1MzUzMjE4YWE4NDQyYTBmZTNhMmMyNDFmZGZkZDA1MmQ3MTNmNTNlMjIz,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,https://api.mybihr.com/medias/1021215-Fitting-Instructions-PV043GEV01-MULTI.pdf?context=bWFzdGVyfHJvb3R8MzU1ODk1fGFwcGxpY2F0aW9uL3BkZnxhRFV5TDJnek9TODJNek16TWpBeU9EZ3dPVEkwTmk4eE1ESXhNakUxSUMwZ1JtbDBkR2x1WnlCSmJuTjBjblZqZEdsdmJuTWdLRkJXTURRelIwVldNREVwSUMwZ1RWVk1WRWt1Y0dSbXxkYjcyY2ExNTA2ZTNiYWUzYjhjM2NhOWIzNGJjYjlkZDk1MjRjOGY5NzU4N2VlZDgyYTNiNzhjNGRhZjJmNTVh,Spain Warehouse (Parts)
1021426,60222,S0029WMB03,BITUBO,BITUB REAR SHOCK WMB03,Amortiguadores Bitubo gas muelle cromo S0029WMB03,488.84,404.00,262.60,8033914081867,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,5000,167,450,90,,,Homologación TüV,,,https://api.mybihr.com/medias/1021426-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMyOTR8aW1hZ2UvanBlZ3xhRFEyTDJnellTODRPVFk1TVRZNU5EQXpPVE0wTHpFd01qRTBNall0TVY4NE1EQlhlRGd3TUVnfDlhMTU1YTBhOTMwOWJjZDVmNjgwZTc3YWQyN2I3YzNjZjA0ZWE5YWJiNTliY2Y3NmM3NTdmYjkzNTRkZmU5Zjc,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1021544,59954,MH23WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MH23WO,134.92,111.50,72.48,8033914112448,1,8714109090,0,1,"K = 0,9 kg/mm","K = 0,9 kg/mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,760,847,213,87,41,,,,,,https://api.mybihr.com/medias/1021544-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhREJtTDJnNU55ODRPVFk1TVRreE9ERTNNalEyTHpFd01qRTFORFF0TVY4NE1EQlhlRGd3TUVnfGZlOTUzZDhkNjU3ZDg0NmVlY2RiYjgwNDMwYTliMzZjOTU2MjM1MzVlNzY0MTdjMWRlYTMzOTQyNzM3NDM5N2M,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1021530,60003,MH09WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MH09WO,191.18,158.00,70.00,8033914073022,2,8714109090,0,1,Progressive,Progressive,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,1000,450,167,90,,,,,,https://api.mybihr.com/medias/1021530-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhRE14TDJnek15ODRPVFk1TVRnNU1EWTBOek0wTHpFd01qRTFNekF0TVY4NE1EQlhlRGd3TUVnfDU2MmQ3NDI2NGE2YmNjMzk0ZjQwYjllZmI3OGFkMDYwNjQwOTdjYzEwZmIxZjk4NTkyNmM0YmU4Mjk3MGQ0NjI,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
1021548,59932,MH28WO,BITUBO,BITUB FRK SPRING,Muelles de horquilla Road Bitubo MH28WO,191.18,158.00,70.00,8033914128319,1,8714109090,0,1,"Linearity K = 0,8 kg/mm","Linearity K = 0,8 kg/mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,6764,1260,450,167,90,,,,,,https://api.mybihr.com/medias/1021548-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTY2Nzl8aW1hZ2UvanBlZ3xhRE0xTDJnek5DODRPVFk1TVRreU5qQXpOamM0THpFd01qRTFORGd0TVY4NE1EQlhlRGd3TUVnfGMwZGI4ZGVmZDE5MGY5Nzg1YWRlNDg4OWFmYjY2NzA3NmFjMjgyOGU1ZTZlN2RiNGU3N2RlZDk2YzNiMzYxMzE,,https://static.bihr.pro/eBihr/Pictures/BITUBO-pictures.zip,,Spain Warehouse (Parts)
